file	category	id
ext_lab_bv_speclog_fc_st	Household	pid
ext_lab_bv_speclog_fc_st	Observation	pid+vstnum
ext_lab_bv_speclog_fc_st	Participant	pid
ext_lab_bv_speclog_fc_st	Sample	pid+vstnum+vstdetail
ext_lab_bv_speclog_ib_st	Household	pid
ext_lab_bv_speclog_ib_st	Observation	pid+vstnum
ext_lab_bv_speclog_ib_st	Participant	pid
ext_lab_bv_speclog_ib_st	Sample	pid+vstnum
ext_lab_bv_speclog_is_st	Household	pid
ext_lab_bv_speclog_is_st	Observation	pid+vstnum
ext_lab_bv_speclog_is_st	Participant	pid
ext_lab_bv_speclog_is_st	Sample	pid+vstnum
ext_lab_bv_speclog_iu_st	Household	pid
ext_lab_bv_speclog_iu_st	Observation	pid+vstnum
ext_lab_bv_speclog_iu_st	Participant	pid
ext_lab_bv_speclog_iu_st	Sample	pid+vstnum
ext_lab_bv_speclog_mb_st	Household	pid
ext_lab_bv_speclog_mb_st	Observation	pid+vstnum
ext_lab_bv_speclog_mb_st	Participant	pid
ext_lab_bv_speclog_mb_st	Sample	pid+vstnum
ext_lab_bv_speclog_vsp_st	Household	pid
ext_lab_bv_speclog_vsp_st	Observation	pid+vstnum
ext_lab_bv_speclog_vsp_st	Participant	pid
ext_lab_bv_speclog_vsp_st	Sample	pid+vstnum+vstdetail
ext_lab_bv_speclog_vsr_st	Household	pid
ext_lab_bv_speclog_vsr_st	Observation	pid+vstnum
ext_lab_bv_speclog_vsr_st	Participant	pid
ext_lab_bv_speclog_vsr_st	Sample	pid+vstnum+vstdetail
ext_lab_bv_sspabm	Household	pid
ext_lab_bv_sspabm	Participant	pid
ext_lab_bv_tac	Household	pid
ext_lab_bv_tac	Observation	pid+vstnum
ext_lab_bv_tac	Participant	pid
ext_lab_bv_tac	Sample	pid+vstnum
ext_lab_bv_tacd	Household	pid
ext_lab_bv_tacd	Observation	pid+vstnum+specdt
ext_lab_bv_tacd	Participant	pid
ext_lab_bv_tacd	Sample	pid+vstnum+specdt
ext_lab_bv_vac_st	Household	pid
ext_lab_bv_vac_st	Observation	pid+vstnum
ext_lab_bv_vac_st	Participant	pid
ext_lab_bv_vac_st	Sample	pid+vstnum
ext_lab_bv_vitd	Household	pid
ext_lab_bv_vitd	Observation	pid+vstnum
ext_lab_bv_vitd	Participant	pid
ext_lab_bv_vitd	Sample	pid+vstnum
ext_lab_bv_zn	Household	pid
ext_lab_bv_zn	Observation	pid+vstnum
ext_lab_bv_zn	Participant	pid
ext_lab_bv_zn	Sample	pid+vstnum
ext_mgmt_bv_aed_st	Household	pid
ext_mgmt_bv_aed_st	Observation	pid+vstnum+uniqueid
ext_mgmt_bv_aed_st	Participant	pid
ext_mgmt_bv_danth	Household	pid
ext_mgmt_bv_danth	Observation	pid+vstnum
ext_mgmt_bv_danth	Participant	pid
ext_mgmt_bv_ddep_st	Household	pid
ext_mgmt_bv_ddep_st	Observation	pid+vstnum+epidate
ext_mgmt_bv_ddep_st	Participant	pid
ext_mgmt_bv_ddep_st	Sample	pid+vstnum+epidate
ext_mgmt_bv_dinf	Household	pid
ext_mgmt_bv_dinf	Participant	pid
ext_mgmt_bv_lmratio	Household	pid
ext_mgmt_bv_lmratio	Observation	pid+lmvtnum
ext_mgmt_bv_lmratio	Participant	pid
ext_mgmt_bv_lmratio	Sample	pid+lmvtnum
ext_mgmt_bv_mib_st	Household	pid
ext_mgmt_bv_mib_st	Observation	pid+vstnum
ext_mgmt_bv_mib_st	Participant	pid
ext_mgmt_bv_mib_st	Sample	pid+vstnum
ext_mgmt_ppg	Household	pid
ext_mgmt_ppg	Participant	pid
ext_mgmt_prn	Household	pid
ext_mgmt_prn	Participant	pid
ext_mgmt_psi1_2_3_st	Household	pid
ext_mgmt_psi1_2_3_st	Observation	pid+vstnum
ext_mgmt_psi1_2_3_st	Participant	pid
ext_mgmt_psi1_2_3_st	Sample	pid+vstnum+vstdetail
ext_mgmt_pso_18_st	Household	pid
ext_mgmt_pso_18_st	Observation	pid+vstnum
ext_mgmt_pso_18_st	Participant	pid
ext_mgmt_pso_18_st	Sample	pid+vstnum
ext_mgmt_pso_st	Household	pid
ext_mgmt_pso_st	Observation	pid+vstnum
ext_mgmt_pso_st	Participant	pid
ext_mgmt_pso_st	Sample	pid+vstnum
ext_mgmt_pto	Household	pid
ext_mgmt_pto	Participant	pid
ext_mgmt_rto2	Household	pid
ext_mgmt_rto2	Participant	pid
