Isolate location	Isolate location category	Mapped Ontology Term IRI	Mapped Ontology Term Label
China: Xizhou, Yunnan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yongsheng, Yunnan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yongxiu, Jiangxi	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yueyanglou, Hunan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yunan, Eryuan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yunan, EryuanII	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yunnan Eryuan I	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yunnan Eryuan II	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yunnan Province, Eryuan County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yunnan Province, Heqing County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Yunnan, Eryuan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Zhejiang Jiashan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Zhejiang, Jiashan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Zhejiang, Jiaxing	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China:Changsha, Hunan province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China:Hei Longjiang Provience	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China:Yueyang, Hunan Province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China:Yueyang, Hunan province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
Democratic Republic of the Congo:Kinshasa	Democratic Republic of the Congo	http://purl.obolibrary.org/obo/GAZ_00001086	Democratic Republic of the Congo
Egypt: Alzahraa, Kafr El Sheikh Governorate	Egypt	http://purl.obolibrary.org/obo/GAZ_00003934	Egypt
Egypt: Mansafire, Menia Governorate	Egypt	http://purl.obolibrary.org/obo/GAZ_00003934	Egypt
Egypt: Menia Governorate, Upper Egypt	Egypt	http://purl.obolibrary.org/obo/GAZ_00003934	Egypt
Egypt: NIAID maintained	Egypt	http://purl.obolibrary.org/obo/GAZ_00003934	Egypt
Egypt: long term lab isolate SSCP supplies	Egypt	http://purl.obolibrary.org/obo/GAZ_00003934	Egypt
France: Annecy Lake	France	http://purl.obolibrary.org/obo/GAZ_00002940	French Republic
