Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Ornithorhynchus anatinus	platypus	http://purl.obolibrary.org/obo/NCBITaxon_9258	Ornithorhynchus anatinus
Ornithorhynchus anatinus (platypus)	platypus	http://purl.obolibrary.org/obo/NCBITaxon_9258	Ornithorhynchus anatinus
unidentified leech collected from a Ornithorhynchus anatinus (platypus)	platypus	http://purl.obolibrary.org/obo/NCBITaxon_122836	Platypus
unidentified leech collected from a Platypus (Ornithorhynchus anatinus)	platypus	http://purl.obolibrary.org/obo/NCBITaxon_9258	Ornithorhynchus anatinus
Atheruri africanus	porcupine		
Atherurus africanus	porcupine	http://purl.obolibrary.org/obo/NCBITaxon_192881	Atherurus africanus
Coendou prehensilis	porcupine	http://purl.obolibrary.org/obo/NCBITaxon_187985	Coendou prehensilis
Coendou sp.	porcupine	http://purl.obolibrary.org/obo/NCBITaxon_43319	Coendou
Argentine Didelphis albiventris	possum	http://purl.obolibrary.org/obo/NCBITaxon_42716	Didelphis albiventris
Brazilian Didelphis albiventris	possum	http://purl.obolibrary.org/obo/NCBITaxon_42716	Didelphis albiventris
common brushtail possum (Trichosurus vulpecula)	possum	http://purl.obolibrary.org/obo/NCBITaxon_9337	Trichosurus vulpecula
Didelphis albiventris	possum	http://purl.obolibrary.org/obo/NCBITaxon_42716	Didelphis albiventris
Didelphis aurita	possum	http://purl.obolibrary.org/obo/NCBITaxon_85694	Didelphis aurita
Didelphis marsupialis	possum	http://purl.obolibrary.org/obo/NCBITaxon_9268	Didelphis marsupialis
Didelphis virginiana	possum	http://purl.obolibrary.org/obo/NCBITaxon_9267	Didelphis virginiana
Florida Didelphis virginiana	possum	http://purl.obolibrary.org/obo/NCBITaxon_9267	Didelphis virginiana
Mississippi Didelphis virginiana	possum	http://purl.obolibrary.org/obo/NCBITaxon_9267	Didelphis virginiana
Monodelphis brevicaudata	possum	http://purl.obolibrary.org/obo/NCBITaxon_203680	Monodelphis brevicaudata
Monodelphis domestica	possum	http://purl.obolibrary.org/obo/NCBITaxon_13616	Monodelphis domestica
Monodelphis sp.	possum	http://purl.obolibrary.org/obo/NCBITaxon_13615	Monodelphis
opossum	possum		
Opossum	possum		
Opposum, Black-Eared 	possum		
Philander frenata	possum	http://purl.obolibrary.org/obo/NCBITaxon_225405	Philander frenatus
Philander frenatus	possum	http://purl.obolibrary.org/obo/NCBITaxon_225405	Philander frenatus
Philander opossum	possum	http://purl.obolibrary.org/obo/NCBITaxon_9272	Philander opossum
Thylamys elegans	possum	http://purl.obolibrary.org/obo/NCBITaxon_191871	Thylamys elegans
Trichosurus vulpecula (common brushtail possum)	possum	http://purl.obolibrary.org/obo/NCBITaxon_9337	Trichosurus vulpecula
Virginia opossum (Didelphis virginiana)	possum	http://purl.obolibrary.org/obo/NCBITaxon_9267	Didelphis virginiana
Colinus virginianus ridgwayi (masked bobwhite quail)	quail	http://purl.obolibrary.org/obo/NCBITaxon_9014	Colinus virginianus
Coturnix coturnix (quail)	quail	http://purl.obolibrary.org/obo/NCBITaxon_9091	Coturnix coturnix
Coturnix japonica	quail	http://purl.obolibrary.org/obo/NCBITaxon_93934	Coturnix japonica
desert cottontail rabbit (Sylvilagus audubonii)	rabbit	http://purl.obolibrary.org/obo/NCBITaxon_30581	Sylvilagus audubonii
domestic rabbit	rabbit	http://purl.obolibrary.org/obo/NCBITaxon_9986	Oryctolagus cuniculus
Eastern cottontail rabbit (Sylvilagus floridanus)	rabbit	http://purl.obolibrary.org/obo/NCBITaxon_9988	Sylvilagus floridanus
Oryctolagus cuniculus	rabbit	http://purl.obolibrary.org/obo/NCBITaxon_9986	Oryctolagus cuniculus
Oryctolagus cuniculus (rabbit)	rabbit	http://purl.obolibrary.org/obo/NCBITaxon_9986	Oryctolagus cuniculus
Rabbit	rabbit		
rabbit (Oryctolagus cuniculus)	rabbit	http://purl.obolibrary.org/obo/NCBITaxon_9986	Oryctolagus cuniculus
Nasua nasua	raccoon	http://purl.obolibrary.org/obo/NCBITaxon_9651	Nasua nasua
Procyon lotor	raccoon	http://purl.obolibrary.org/obo/NCBITaxon_9654	Procyon lotor
Procyon lotor (raccoon)	raccoon	http://purl.obolibrary.org/obo/NCBITaxon_9654	Procyon lotor
Raccoon	raccoon		
raccoon (Procyon lotor)	raccoon	http://purl.obolibrary.org/obo/NCBITaxon_9654	Procyon lotor
bamboo rat	rat		
Bandicota indica	rat	http://purl.obolibrary.org/obo/NCBITaxon_456472	Bandicota indica
Bandicota indicum	rat	http://purl.obolibrary.org/obo/NCBITaxon_69078	Bandicota
Echimys dasythrix	rat	http://purl.obolibrary.org/obo/NCBITaxon_30620	Echimys
Euryoryzomys macconnelli	rat	http://purl.obolibrary.org/obo/NCBITaxon_48006	Euryoryzomys macconnelli
Grammomys surdaster	rat	http://purl.obolibrary.org/obo/NCBITaxon_491861	Grammomys surdaster
Heliophobius argenteocinereus	rat	http://purl.obolibrary.org/obo/NCBITaxon_10179	Heliophobius argenteocinereus
Holochilus brasiliensis	rat	http://purl.obolibrary.org/obo/NCBITaxon_79920	Holochilus brasiliensis
house rat	rat	http://purl.obolibrary.org/obo/NCBITaxon_10117	Rattus rattus
Nesokia indica	rat	http://purl.obolibrary.org/obo/NCBITaxon_51373	Nesokia indica
Rat	rat		
Rat, Wood	rat		
Rattus coxinga	rat	http://purl.obolibrary.org/obo/NCBITaxon_10114	Rattus
Rattus fuscipes	rat	http://purl.obolibrary.org/obo/NCBITaxon_10119	Rattus fuscipes
Rattus losea	rat	http://purl.obolibrary.org/obo/NCBITaxon_69075	Rattus losea
Rattus norvegicus	rat	http://purl.obolibrary.org/obo/NCBITaxon_10116	Rattus norvegicus
Rattus norvegicus (brown rat)	rat	http://purl.obolibrary.org/obo/NCBITaxon_10116	Rattus norvegicus
Rattus norvegicus; AB193	rat	http://purl.obolibrary.org/obo/NCBITaxon_10116	Rattus norvegicus
Rattus norvegicus; AB200	rat	http://purl.obolibrary.org/obo/NCBITaxon_10116	Rattus norvegicus
Rattus norvegicus; AB205	rat	http://purl.obolibrary.org/obo/NCBITaxon_10116	Rattus norvegicus
Rattus rattus	rat	http://purl.obolibrary.org/obo/NCBITaxon_10117	Rattus rattus
Rattus rattus (wild black rat)	rat	http://purl.obolibrary.org/obo/NCBITaxon_10117	Rattus rattus
Rattus ruttus	rat	http://purl.obolibrary.org/obo/NCBITaxon_10114	Rattus
Rattus sp.	rat	http://purl.obolibrary.org/obo/NCBITaxon_10118	Rattus sp.
Rattus tanezumi	rat	http://purl.obolibrary.org/obo/NCBITaxon_35732	Rattus tanezumi
Sigmodon hispidus	rat	http://purl.obolibrary.org/obo/NCBITaxon_42415	Sigmodon hispidus
Tachyoryctes splendens (East African mole rat)	rat	http://purl.obolibrary.org/obo/NCBITaxon_49445	Tachyoryctes splendens
Thamnomys rutilans	rat		
Agelaius phoenicius	red-winged blackbird	http://purl.obolibrary.org/obo/NCBITaxon_9190	Agelaius
caribou (Rangifer tarandus caribou)	reindeer	http://purl.obolibrary.org/obo/NCBITaxon_9870	Rangifer tarandus
intermediate host: Rangifer tarandus tarandus	reindeer	http://purl.obolibrary.org/obo/NCBITaxon_9870	Rangifer tarandus
Rangifer tarandus	reindeer	http://purl.obolibrary.org/obo/NCBITaxon_9870	Rangifer tarandus
Rangifer tarandus tarandus	reindeer	http://purl.obolibrary.org/obo/NCBITaxon_9870	Rangifer tarandus
Rangifer tarandus tarandus (reindeer)	reindeer	http://purl.obolibrary.org/obo/NCBITaxon_9870	Rangifer tarandus
reindeer (Rangifer tarandus tarandus)	reindeer	http://purl.obolibrary.org/obo/NCBITaxon_9870	Rangifer tarandus
Ceratotherium simum simum (southern white Rhinoceros)	rhinoceros	http://purl.obolibrary.org/obo/NCBITaxon_9807	Ceratotherium simum
Ceratotherium simum simum (Southern White Rhinoceros)	rhinoceros	http://purl.obolibrary.org/obo/NCBITaxon_9807	Ceratotherium simum
Rhinoceros unicornis (Indian rhinoceros)	rhinoceros	http://purl.obolibrary.org/obo/NCBITaxon_9809	Rhinoceros unicornis
Chinchilla sp.	rodent	http://purl.obolibrary.org/obo/NCBITaxon_30616	Chinchilla sp.
Hydrochaeris hydrochaeris	rodent	http://purl.obolibrary.org/obo/NCBITaxon_10149	Hydrochoerus hydrochaeris
rodent, chronic	rodent		
farmed Salmo salar	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8030	Salmo salar
farmed Salvelinus alpinus	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8036	Salvelinus alpinus
Onchorhyncus tshawytscha	salmon		
Oncorhynchus makkis	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8022	Oncorhynchus mykiss
Oncorhynchus mykiss	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8022	Oncorhynchus mykiss
Oncorhynchus mykkis	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8022	Oncorhynchus mykiss
Oncorhynchus tshawytscha	salmon	http://purl.obolibrary.org/obo/NCBITaxon_74940	Oncorhynchus tshawytscha
Salmo salar	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8030	Salmo salar
Salmo salar (Atlantic salmon)	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8030	Salmo salar
Salmo salar (escaped farmed Atlantic salmon)	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8030	Salmo salar
Salmo trutta	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8032	Salmo trutta
Salmo trutta fario	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8032	Salmo trutta
Salomo salar	salmon		
Salvelinus alpinus	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8036	Salvelinus alpinus
Thymallus arcticus baikalensis	salmon	http://purl.obolibrary.org/obo/NCBITaxon_70285	Thymallus arcticus
Thymallus thymallus	salmon	http://purl.obolibrary.org/obo/NCBITaxon_36185	Thymallus thymallus
wild Salvelinus	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8033	Salvelinus
wild Salvelinus alpinus	salmon	http://purl.obolibrary.org/obo/NCBITaxon_8036	Salvelinus alpinus
Arctocephalus townsendi	seal	http://purl.obolibrary.org/obo/NCBITaxon_161921	Arctocephalus townsendi
Cystophora cristata	seal	http://purl.obolibrary.org/obo/NCBITaxon_39293	Cystophora cristata
Halichoerus grypus	seal	http://purl.obolibrary.org/obo/NCBITaxon_9711	Halichoerus grypus
Leptonychotes weddellii (Weddell seal)	seal	http://purl.obolibrary.org/obo/NCBITaxon_9713	Leptonychotes weddellii
Mirounga leonina (southern elephant seal)	seal	http://purl.obolibrary.org/obo/NCBITaxon_9715	Mirounga leonina
Mirounga leonina (Southern elephant seal)	seal	http://purl.obolibrary.org/obo/NCBITaxon_9715	Mirounga leonina
Pagophilus groenlandicus	seal	http://purl.obolibrary.org/obo/NCBITaxon_39089	Phoca groenlandica
Phoca groenlandica (harp seal)	seal	http://purl.obolibrary.org/obo/NCBITaxon_39089	Phoca groenlandica
Phoca hispida	seal	http://purl.obolibrary.org/obo/NCBITaxon_9718	Pusa hispida
Phoca vitulina	seal	http://purl.obolibrary.org/obo/NCBITaxon_9720	Phoca vitulina
Phoca vitulina richardsi	seal	http://purl.obolibrary.org/obo/NCBITaxon_9720	Phoca vitulina
Phoca vitulina vitulina	seal	http://purl.obolibrary.org/obo/NCBITaxon_9720	Phoca vitulina
Phoca vitulina vitulina (harbor seal)	seal	http://purl.obolibrary.org/obo/NCBITaxon_9720	Phoca vitulina
Zalophus californianus (California sea lion)	seal	http://purl.obolibrary.org/obo/NCBITaxon_9704	Zalophus californianus
Alopias vulpinus (common thresher shark)	shark	http://purl.obolibrary.org/obo/NCBITaxon_7852	Alopias vulpinus
mako shark	shark		
Aries ovis	sheep	http://purl.obolibrary.org/obo/NCBITaxon_9940	Ovis aries
free-ranging bighorn sheep (Ovis canadensis nelsoni)	sheep	http://purl.obolibrary.org/obo/NCBITaxon_37174	Ovis canadensis
Mouflon sheep	sheep		
naturally infected sheep	sheep		
Ovies aries	sheep		
ovine	sheep		
Ovis aries	sheep	http://purl.obolibrary.org/obo/NCBITaxon_9940	Ovis aries
ovis aries	sheep	http://purl.obolibrary.org/obo/NCBITaxon_9940	Ovis aries
Ovis aries (sheep)	sheep	http://purl.obolibrary.org/obo/NCBITaxon_9940	Ovis aries
Ovis aries breed Longde	sheep	http://purl.obolibrary.org/obo/NCBITaxon_9940	Ovis aries
Ovis aries breed Weiyuan	sheep	http://purl.obolibrary.org/obo/NCBITaxon_9940	Ovis aries
Sheep	sheep		
sheep, chronic	sheep		
small bighorn sheep	sheep		
Caridina formosae	shrimp	http://purl.obolibrary.org/obo/NCBITaxon_436128	Caridina formosae
Antheraea assama	silkworm	http://purl.obolibrary.org/obo/NCBITaxon_91021	Antheraea assama
Antheraea mylitta (tasar silkworm)	silkworm	http://purl.obolibrary.org/obo/NCBITaxon_34739	Antheraea mylitta
Bombyx mori	silkworm	http://purl.obolibrary.org/obo/NCBITaxon_7091	Bombyx mori
Bombyx mori (silkworm)	silkworm	http://purl.obolibrary.org/obo/NCBITaxon_7091	Bombyx mori
silkworm, Bombyx mori	silkworm	http://purl.obolibrary.org/obo/NCBITaxon_7091	Bombyx mori
Skunk	skunk		
Skunk, Striped	skunk		
Anisus vortex	snail	http://purl.obolibrary.org/obo/NCBITaxon_271030	Anisus vortex
Batillaria australis	snail	http://purl.obolibrary.org/obo/NCBITaxon_145543	Batillaria australis
Biompahalaria alexandrina	snail		
Biompahalaria choanomphala	snail		
Biompahalaria glabrata	snail		
Biompahalaria pfeifferi	snail		
Biompahalaria straminea	snail		
Biompahalaria sudanica	snail		
Biomphalaria alexandrina	snail	http://purl.obolibrary.org/obo/NCBITaxon_50959	Biomphalaria alexandrina
Biomphalaria cf. choanomphala	snail	http://purl.obolibrary.org/obo/NCBITaxon_484015	Biomphalaria cf. choanomphala
Biomphalaria choanomphala choanomphala	snail	http://purl.obolibrary.org/obo/NCBITaxon_158987	Biomphalaria choanomphala
Biomphalaria choanomphala var. choanomphala	snail	http://purl.obolibrary.org/obo/NCBITaxon_158987	Biomphalaria choanomphala
Biomphalaria pfeifferi	snail	http://purl.obolibrary.org/obo/NCBITaxon_112525	Biomphalaria pfeifferi
Biomphalaria sudanica	snail	http://purl.obolibrary.org/obo/NCBITaxon_112527	Biomphalaria sudanica
Biomphalaria sudanica (snails)	snail	http://purl.obolibrary.org/obo/NCBITaxon_112527	Biomphalaria sudanica
Biomphalaria tenagophila	snail	http://purl.obolibrary.org/obo/NCBITaxon_112528	Biomphalaria tenagophila
Bulinus globosus	snail	http://purl.obolibrary.org/obo/NCBITaxon_157967	Bulinus globosus
Bulinus nyassanus	snail	http://purl.obolibrary.org/obo/NCBITaxon_271035	Bulinus nyassanus
Bulinus sp.	snail	http://purl.obolibrary.org/obo/NCBITaxon_157969	Bulinus
Bulinus truncatus	snail	http://purl.obolibrary.org/obo/NCBITaxon_55810	Bulinus truncatus
Chilina dombeiana	snail	http://purl.obolibrary.org/obo/NCBITaxon_999939	Chilina dombeiana
Chilina fulgurata	snail	http://purl.obolibrary.org/obo/NCBITaxon_157715	Chilina
Chilina gibbosa	snail	http://purl.obolibrary.org/obo/NCBITaxon_157715	Chilina
Chilina neuquenensis	snail	http://purl.obolibrary.org/obo/NCBITaxon_157715	Chilina
Chilina parchappii	snail	http://purl.obolibrary.org/obo/NCBITaxon_157715	Chilina
Chilina perrieri	snail	http://purl.obolibrary.org/obo/NCBITaxon_157715	Chilina
Gyraulus parvus	snail	http://purl.obolibrary.org/obo/NCBITaxon_264248	Gyraulus parvus
Haminoea japonica	snail	http://purl.obolibrary.org/obo/NCBITaxon_674295	Haminoea japonica
Ilyanassa obsoleta	snail	http://purl.obolibrary.org/obo/NCBITaxon_34582	Ilyanassa obsoleta
Indoplanorbis exustus	snail	http://purl.obolibrary.org/obo/NCBITaxon_191797	Indoplanorbis exustus
infected Oncome lania hupensis	snail		
Lymnaea stagnalis	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Lymnaea stagnalis isolate LSK2	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Lymnaea stagnalis isolate LSM1	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Lymnaea stagnalis isolate LSM2	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Lymnaea stagnalis isolate LSM20	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Lymnaea stagnalis isolate LSM3	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Lymnaea stagnalis isolate LSM4	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Lymnaea stagnalis isolate LSM7	snail	http://purl.obolibrary.org/obo/NCBITaxon_6523	Lymnaea stagnalis
Melanoides sp.	snail	http://purl.obolibrary.org/obo/NCBITaxon_55728	Melanoides
Melanoides tuberculata	snail	http://purl.obolibrary.org/obo/NCBITaxon_55729	Melanoides tuberculata
Melanoides tuberculata (snail)	snail	http://purl.obolibrary.org/obo/NCBITaxon_55729	Melanoides tuberculata
Oncomelania	snail	http://purl.obolibrary.org/obo/NCBITaxon_56140	Oncomelania
Oncomelania hupensis	snail	http://purl.obolibrary.org/obo/NCBITaxon_56141	Oncomelania hupensis
Oncomelania hupensis hupensis	snail	http://purl.obolibrary.org/obo/NCBITaxon_56141	Oncomelania hupensis
Oncomelania hupensis robertsoni	snail	http://purl.obolibrary.org/obo/NCBITaxon_56141	Oncomelania hupensis
Physa fontinalis	snail	http://purl.obolibrary.org/obo/NCBITaxon_146087	Physa fontinalis
Physa gyrina	snail	http://purl.obolibrary.org/obo/NCBITaxon_175860	Physella gyrina
Physa marmorata	snail	http://purl.obolibrary.org/obo/NCBITaxon_459056	Physa marmorata
Physa parkeri	snail	http://purl.obolibrary.org/obo/NCBITaxon_264259	Physella parkeri
Planorbarius sp.	snail	http://purl.obolibrary.org/obo/NCBITaxon_220639	Planorbarius
Planorbis planorbis	snail	http://purl.obolibrary.org/obo/NCBITaxon_191805	Planorbis planorbis
Radix ampla	snail	http://purl.obolibrary.org/obo/NCBITaxon_161082	Radix ampla
Radix auricularia	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia isolate RAM1	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia isolate RAM2	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia isolate RAM3	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia isolate RAM4	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RAN77	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSBE1	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSBE13	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSBE2	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSBE67	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSFO1	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSFO3	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSFO4	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSST2	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSST3	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSST4	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSST5	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix auricularia RSST6	snail	http://purl.obolibrary.org/obo/NCBITaxon_52793	Radix auricularia
Radix balthica	snail	http://purl.obolibrary.org/obo/NCBITaxon_582868	Radix balthica
Radix lagotis isolate ROM1	snail	http://purl.obolibrary.org/obo/NCBITaxon_161081	Radix lagotis
Radix lagotis isolate ROM2	snail	http://purl.obolibrary.org/obo/NCBITaxon_161081	Radix lagotis
Radix luteola	snail	http://purl.obolibrary.org/obo/NCBITaxon_199954	Radix luteola
Radix peregra	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra DOU1	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra ISF1	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra ISF2	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra ISF3	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra ISF4	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra ISF5	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra ISF6	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN17	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN18	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN22	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN5	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN57	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN79	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN8	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix peregra RAN80	snail	http://purl.obolibrary.org/obo/NCBITaxon_55690	Radix peregra
Radix sp.	snail	http://purl.obolibrary.org/obo/NCBITaxon_55737	Radix sp.
Rhinoceros unicornis	snail	http://purl.obolibrary.org/obo/NCBITaxon_9809	Rhinoceros unicornis
Stagnicola elrodi	snail	http://purl.obolibrary.org/obo/NCBITaxon_199960	Stagnicola elrodi
Stagnicola emarginata	snail	http://purl.obolibrary.org/obo/NCBITaxon_55698	Stagnicola emarginata
Stagnicola sp.	snail		
Valvata macrostoma	snail	http://purl.obolibrary.org/obo/NCBITaxon_54981	Valvata
Amazon tree boa	snake	http://purl.obolibrary.org/obo/NCBITaxon_8573	Boa
Atheris desaixi (Mt. Kenya Bush Viper)	snake	http://purl.obolibrary.org/obo/NCBITaxon_110221	Atheris desaixi
Atheris rungweensis (Mt Rungwe Bush Viper)	snake	http://purl.obolibrary.org/obo/NCBITaxon_110215	Atheris
Atheris rungweensis (Mt. Rungwe Bush Viper)	snake	http://purl.obolibrary.org/obo/NCBITaxon_110215	Atheris
Boa constrictor	snake	http://purl.obolibrary.org/obo/NCBITaxon_8574	Boa constrictor
boa constrictor	snake	http://purl.obolibrary.org/obo/NCBITaxon_8574	Boa constrictor
Boa constrictor imperator	snake	http://purl.obolibrary.org/obo/NCBITaxon_8574	Boa constrictor
Boa constrictor ortoni	snake	http://purl.obolibrary.org/obo/NCBITaxon_8574	Boa constrictor
bull snake	snake		
cobra	snake		
Crotalus durissus	snake	http://purl.obolibrary.org/obo/NCBITaxon_8731	Crotalus durissus
Elaphe guttata guttata	snake	http://purl.obolibrary.org/obo/NCBITaxon_94885	Pantherophis guttatus
king snake	snake		
Lampropeltis getula californiae	snake	http://purl.obolibrary.org/obo/NCBITaxon_1240242	Lampropeltis californiae
Lampropeltis getula nigritus	snake	http://purl.obolibrary.org/obo/NCBITaxon_94887	Lampropeltis getula
Lampropeltis triangulum	snake	http://purl.obolibrary.org/obo/NCBITaxon_140017	Lampropeltis triangulum
Malpolon monspessulanus	snake	http://purl.obolibrary.org/obo/NCBITaxon_184164	Malpolon monspessulanus
Morelia viridis	snake	http://purl.obolibrary.org/obo/NCBITaxon_129333	Morelia viridis
New Guinea Boa snake	snake	http://purl.obolibrary.org/obo/NCBITaxon_8573	Boa
Pantherophis guttatus	snake	http://purl.obolibrary.org/obo/NCBITaxon_94885	Pantherophis guttatus
Psammophis schokari	snake	http://purl.obolibrary.org/obo/NCBITaxon_292864	Psammophis schokari
Pseudoboa nigra	snake	http://purl.obolibrary.org/obo/NCBITaxon_211649	Pseudoboa nigra
Pseudocerastes persicus (Persian Horned Viper)	snake	http://purl.obolibrary.org/obo/NCBITaxon_47769	Pseudocerastes persicus
Python regius	snake	http://purl.obolibrary.org/obo/NCBITaxon_51751	Python regius
yellow rat snake	snake	http://purl.obolibrary.org/obo/NCBITaxon_39099	Pantherophis obsoletus
Ammodramus humeralis	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_218194	Ammodramus humeralis
Costa rican orange-billed sparrow (Arremon aurantiirostris rufidorsalis)	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_241750	Arremon aurantiirostris
Melospiza melodia	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_44397	Melospiza melodia
Northern house sparrow (Passer domesticus domesticus)	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_48849	Passer domesticus
Northern house sparrow (Passer domesticus)	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_48849	Passer domesticus
Padda oryzivora	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_267976	Padda oryzivora
Padda oryzivora (White Java Sparrow)	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_267976	Padda oryzivora
Passer domensticus	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_9159	Passer
Passer domesticus	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_48849	Passer domesticus
Passer domesticus (house sparrow)	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_48849	Passer domesticus
Passer luteus	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_58821	Passer luteus
Passer luteus lutens	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_58821	Passer luteus
Passer melanurus	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_150917	Passer melanurus
Southern cape sparrow (Passer melanurus melanurus)	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_150917	Passer melanurus
Sparrow, Tree	sparrow		
Spizella passerina	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_40210	Spizella passerina
Volatinia jacarina	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_135452	Volatinia jacarina
Zonotrichia albicollis	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_44394	Zonotrichia albicollis
Zonotrichia capensis	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_44391	Zonotrichia capensis
Zonotrichia leucophrys	sparrow	http://purl.obolibrary.org/obo/NCBITaxon_44393	Zonotrichia leucophrys
Easter gray squirrel	squirrel		
Pteromys volans	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_55152	Pteromys volans
Sciurus carolinensis	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_30640	Sciurus carolinensis
Sciurus spadiceus	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_10001	Sciurus
Sciurus vulgaris	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_55149	Sciurus vulgaris
Spermophilus beecheyi	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_34862	Otospermophilus beecheyi
Spermophilus beldingi	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_9996	Spermophilus
Spermophilus citellus	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_9997	Spermophilus citellus
Spermophilus elegans	squirrel	http://purl.obolibrary.org/obo/NCBITaxon_99838	Spermophilus elegans
