variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
sint_viaje_88,icemr2,,Other,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Other,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_sint_viaje,icemr2,,Symptom on your last trip specified,Symptom on your last trip: Specify another,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Symptom on your last trip: Specify another,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
daig_mal_last_trav,icemr2,,Malaria diagnosis in last trip,Were you diagnosed with malaria during your last trip?,Participant,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,variable,Were you diagnosed with malaria during your last trip?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
ce_malaria_type,icemr2,,Type of malaria in last trip,What kind of malaria was it?,Participant,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,variable,What kind of malaria was it?,1 = Benign Malaria (Vivax) | 2 = Malignant Malaria (Falciparum) | 3 = Mixed | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
posible_viaje_mes,icemr2,,Do you plan to travel in the next month?,Do you plan to travel in the next month?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,Do you plan to travel in the next month?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
lugar_destino_prox,icemr2,,Destination name for trip ,What will be the destination?,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,What will be the destination?,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
fam_casa_siempre_ind,icemr2,,Always stay at this house ,Have you always lived in this house?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,,,,,,,,,,,,,,,,
choice_observations,icemr2,,Options at the end of the survey,Options at the end of the survey,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,Options at the end of the survey,1 = Survey correct | 2 = Little Sample | 3 = No Sample | 4 = Override | 88 = Other,,,,,ICEMR2_cross_sectional,,,,,,,,,
observaciones,icemr2,,Observations,Observations,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,variable,Observations,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
inicio_house,icemr2,,Household survey start date and time,Home survey start date and time,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,variable,Home survey start date and time,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
fin_house,icemr2,,Household survey end date and time,Household survey end date and time,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,variable,Household survey end date and time,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
tiempo_house,icemr2,,Time taken on each survey  ,Time taken on each survey (minutes),Participant,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,variable,Time taken on each survey (minutes),NA,,,,,ICEMR2_cross_sectional,minutes,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
dt_data_collection_house,icemr2,,Household data collection date,Household data collection date,Participant,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,variable,Household data collection date,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
num_hh_total,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,Number of people constituting the family,Household,,,variable,Number of people constituting the family,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
num_habitaciones,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling count,Rooms in the house to sleep,Household,,,variable,Rooms in the house to sleep,NA,,,,,ICEMR2_cross_sectional,,,,,,yes,,,
num_camas,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022114,Bed count,Number of beds in the house,Household,,,variable,Number of beds in the house,NA,,,,,ICEMR2_cross_sectional,,,,,,yes,,,
mosquiteros_insecticida,icemr2,http://purl.obolibrary.org/obo/EUPATH_0041014,ITN bednet count,Insecticide-treated bed nets (ITNs),Household,,,variable,Insecticide-treated bed nets (ITNs),NA,,,,,ICEMR2_cross_sectional,,,,,,yes,,,
mosquiteros_convencionales,icemr2,,Conventional mosquito nets (MC),Conventional mosquito nets (MC),Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Conventional mosquito nets (MC),NA,,,,,ICEMR2_cross_sectional,,,,,,yes,,,
total_mosquiteros,icemr2,,Mosquito net count,Total number of mosquito nets,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Total number of mosquito nets,NA,,,,,ICEMR2_cross_sectional,,,,,,yes,,,
religion,icemr2,,Household religion,Family religion,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,variable,Family religion,1 = Evangelical | 2 = Catholic | 3 = Adventist | 0 = None | 88 = Other,,,,,ICEMR2_cross_sectional,,,,,,,,,
viv_siempre_com_house,icemr2,,Always stay at this community ,Has (the family) always lived in this community?,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Has (the family) always lived in this community?,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
anio_llegada_house,icemr2,,Year of family move in  community,In what year did (the family) come to the community?,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,In what year did (the family) come to the community?,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mes_llegada_house,icemr2,,Month of family move in  community ,In what month did (the family) arrive in the community?,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,In what month did (the family) arrive in the community?,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
com_antes_house,icemr2,,Community lived in previously,Name of the community in which you lived before:,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Name of the community in which you lived before:,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
distr_antes_house,icemr2,,District lived in previously,Name of the district in which you lived before:,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Name of the district in which you lived before:,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
refer_antes_house,icemr2,,Reference:,Reference:,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Reference:,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
why_antes_house,icemr2,,Reason for moving from previous community,Reason for moving from previous community,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Reason for moving from previous community,"1 = Economic Reasons (work/commerce) | 2 = Health care | 3 = Documentary procedures | 4 = Studies or military service | 5 = Violence, insecurity or disputes | 6 = Recreation, tourism and anniversaries | 7 = Family matters | 8 = Environmental conditions (floods or ravines) | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_why_antes_house,icemr2,,Reason for moving from previous community  specified,"Reason for moving from previous community, specify",Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,"Reason for moving from previous community, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
plan_anio_com,icemr2,,Planning to move to another community this year,Do you plan to move to another community this year?,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Do you plan to move to another community this year?,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
si_plan_otra_com,icemr2,,Community plan to move this year,Name of the community you will be moving to this year,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Name of the community you will be moving to this year,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
si_plan_otra_com_dsitrito,icemr2,,District plan to move this year,Name of the district you will be moving to this year,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Name of the district you will be moving to this year,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
motivos_mudar,icemr2,,Reason for moving,Reason for moving,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Reason for moving,"1 = Economic Reasons (work/commerce) | 2 = Health care | 3 = Documentary procedures | 4 = Studies or military service | 5 = Violence, insecurity or disputes | 6 = Recreation, tourism and anniversaries | 7 = Family matters | 8 = Environmental conditions (floods or ravines) | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_motivos_mudar,icemr2,,Reason for moving specified,"Reason for moving, specify",Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,"Reason for moving, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
fam_casa_siempre_house,icemr2,,Always stay at this house ,Has (the family) always lived in this house?,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Has (the family) always lived in this house?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
anio_inicio_vivienda_house,icemr2,,Year in which (the family) began to live in this dwelling,Year in which (the family) began to live in this dwelling,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Year in which (the family) began to live in this dwelling,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mes_inicio_vivienda_house,icemr2,,Month in which (the family) began to live in this dwelling,Month in which (the family) began to live in this dwelling,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Month in which (the family) began to live in this dwelling,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
reason_before_house,icemr2,,Reason for moving from previous home,Reason for moving from your previous home,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Reason for moving from your previous home,"1 = Economic Reasons (work/commerce) | 2 = Health care | 3 = Documentary procedures | 4 = Studies or military service | 5 = Violence, insecurity or disputes | 6 = Recreation, tourism and anniversaries | 7 = Family matters | 8 = Environmental conditions (floods or ravines) | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_razon_before_house,icemr2,,Second reason for moving from previous home,Another reason you moved from your previous home,Household,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,variable,Another reason you moved from your previous home,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipo_casa,icemr2,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,House type,Household,,,variable,House type,"1 = HOUSE TYPE A: House without walls, with or without wooden floor | 2 = TYPE B HOUSE: House that has one, two or three walls without being able to completely close a room, with or without a wooden floor | 3 = HOUSE TYPE C: House that has at least one closed room, with or without a wooden floor | 4 = HOUSE TYPE D: Completely closed house, with or without wooden floor",,,,,ICEMR2_cross_sectional,,,,,,,,,
fumigacion,icemr2,http://purl.obolibrary.org/obo/EUPATH_0053214,Sprayed in past 12 months,Has the house been sprayed with insecticides in the last 12 months?,Household,,,variable,Has the house been sprayed with insecticides in the last 12 months?,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
