file,uniqueVar,dataSet,variable,values,mappedTerms,valueOrder,dataFile,variable_dataFile,boolean,notes
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.cint,WWARN_ACT,marker.group_pfcrt.cint,pfcrt 72-76 CxxxT,pfcrt 72-76 CxxxT,,wwarn_act_wide,marker.group_pfcrt.CINT,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.1246d.y,WWARN_ACT,marker.group_pfmdr1.1246d.y,pfmdr1 1246D/Y,pfmdr1 1246D/Y,,wwarn_act_wide,marker.group_pfmdr1.1246D.Y,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.yysny,WWARN_ACT,marker.group_pfmdr1.yysny,pfmdr1 YYXXY,pfmdr1 YYXXY,,wwarn_act_wide,marker.group_pfmdr1.YYSNY,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.cmet,WWARN_ACT,marker.group_pfcrt.cmet,pfcrt 72-76 CxxxT,pfcrt 72-76 CxxxT,,wwarn_act_wide,marker.group_pfcrt.CMET,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number...2,WWARN_ACT,marker.group_pfmdr1.copy.number...2,pfmdr1 copy number >1,pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number...2,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfpm2.copy.number.1,WWARN_ACT,marker.group_pfpm2.copy.number.1,"c(""pfpm2 copy number=1"", ""pfpm2 copy number=1"")",pfpm2 copy number=1,,wwarn_act_wide,marker.group_pfpm2.copy.number.1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfpm2.copy.number.1,WWARN_ACT,marker.group_pfpm2.copy.number.1,"c(""pfpm2 copy number=1"", ""pfpm2 copy number=1"", ""pfpm2 copy number=1"")",pfpm2 copy number=1,,wwarn_act_wide,marker.group_pfpm2.copy.number.1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfpm2.copy.number.1,WWARN_ACT,marker.group_pfpm2.copy.number.1,pfpm2 copy number=1,pfpm2 copy number=1,,wwarn_act_wide,marker.group_pfpm2.copy.number.1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfpm2.copy.number..1,WWARN_ACT,marker.group_pfpm2.copy.number..1,"c(""pfpm2 copy number >1"", ""pfpm2 copy number >1"")",pfpm2 copy number >1,,wwarn_act_wide,marker.group_pfpm2.copy.number..1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfpm2.copy.number..1,WWARN_ACT,marker.group_pfpm2.copy.number..1,"c(""pfpm2 copy number >1"", ""pfpm2 copy number >1"", ""pfpm2 copy number >1"")",pfpm2 copy number >1,,wwarn_act_wide,marker.group_pfpm2.copy.number..1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfpm2.copy.number..1,WWARN_ACT,marker.group_pfpm2.copy.number..1,pfpm2 copy number >1,pfpm2 copy number >1,,wwarn_act_wide,marker.group_pfpm2.copy.number..1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number...4.or.higher,WWARN_ACT,marker.group_pfmdr1.copy.number...4.or.higher,pfmdr1 copy number >1,pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number...4.or.higher,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number...3,WWARN_ACT,marker.group_pfmdr1.copy.number...3,pfmdr1 copy number >1,pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number...3,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number...4,WWARN_ACT,marker.group_pfmdr1.copy.number...4,pfmdr1 copy number >1,pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number...4,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.cidt,WWARN_ACT,marker.group_pfcrt.cidt,pfcrt 72-76 CxxxT,pfcrt 72-76 CxxxT,,wwarn_act_wide,marker.group_pfcrt.CIDT,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number...5.or.higher,WWARN_ACT,marker.group_pfmdr1.copy.number...5.or.higher,pfmdr1 copy number >1,pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number...5.or.higher,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.93s,WWARN_ACT,marker.group_pfcrt.93s,pfcrt 93S,pfcrt 93S,,wwarn_act_wide,marker.group_pfcrt.93S,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.97y,WWARN_ACT,marker.group_pfcrt.97y,pfcrt 97Y,pfcrt 97Y,,wwarn_act_wide,marker.group_pfcrt.97Y,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.f145i,WWARN_ACT,marker.group_pfcrt.f145i,pfcrt F145I,pfcrt F145I,,wwarn_act_wide,marker.group_pfcrt.F145I,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.343i,WWARN_ACT,marker.group_pfcrt.343i,pfcrt 343I,pfcrt 343I,,wwarn_act_wide,marker.group_pfcrt.343I,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.353v,WWARN_ACT,marker.group_pfcrt.353v,pfcrt 353V,pfcrt 353V,,wwarn_act_wide,marker.group_pfcrt.353V,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.smet,WWARN_ACT,marker.group_pfcrt.smet,pfcrt 72-76 SxxxT,pfcrt 72-76 SxxxT,,wwarn_act_wide,marker.group_pfcrt.SMET,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.ciek,WWARN_ACT,marker.group_pfcrt.ciek,pfcrt 72-76 CxxxK,pfcrt 72-76 CxxxK,,wwarn_act_wide,marker.group_pfcrt.CIEK,,
