IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0049149,Hepatic failure,WOMAN_Trial_dataset_anonymised::hepaticfailure,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: hepatic failure,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049115,Myocardial infarction,WOMAN_Trial_dataset_anonymised::myocardialinfarction,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: myocardial infarction,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049117,Pain or discomfort,WOMAN_Trial_dataset_anonymised::paindiscomfort,,WOMAN_Trial_dataset_anonymised,"Patient experiencing any pain or discomfort, at discharge or at 42 days",Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,"patient experiencing any pain or discomfort, at discharge or at 42 days",,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049114,Problems with mobility,WOMAN_Trial_dataset_anonymised::mobility,,WOMAN_Trial_dataset_anonymised,"Patient experiencing any problems with mobility, at discharge or at 42 days",Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,"patient experiencing any problems with mobility, at discharge or at 42 days",,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049122,Pulmonary embolism,WOMAN_Trial_dataset_anonymised::pulmonaryembolism,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: pulmonary embolism,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_1074,Renal failure,WOMAN_Trial_dataset_anonymised::renalfailure,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: renal failure,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049123,Respiratory failure,WOMAN_Trial_dataset_anonymised::respiratoryfailure,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: respiratory failure,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/SYMP_0000124,Seizures,WOMAN_Trial_dataset_anonymised::seizure,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: seizure,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100806,Sepsis,WOMAN_Trial_dataset_anonymised::sepsis,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: sepsis,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049127,Stroke,WOMAN_Trial_dataset_anonymised::stroke,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: stroke,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049103,Brace suturing of uterus,WOMAN_Trial_dataset_anonymised::bracesuturesuterus,,WOMAN_Trial_dataset_anonymised,Brace suturing of uterus performed,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,patient management: brace suturing of uterus performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049146,Embolisation,WOMAN_Trial_dataset_anonymised::embolisation,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,patient management: embolisation performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049147,Ergometrine administered,WOMAN_Trial_dataset_anonymised::ergometrine,,WOMAN_Trial_dataset_anonymised,Ergometrine administered after diagnosis of postpartum haemorrhage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,ergometrine administered after diagnosis of postpartum haemorrhage,,variable,,,,WOMAN,,,,,,,,,
