variable	variable2	values	mappedTerms	valueOrder
ext_crypt_ctreat::treat1	ext_crypt_ctreat::treat1	NA	NA	
ext_crypt_ctreat::treat10	ext_crypt_ctreat::treat10	NA	NA	
ext_crypt_ctreat::treat2	ext_crypt_ctreat::treat2	NA	NA	
ext_crypt_ctreat::treat3	ext_crypt_ctreat::treat3	NA	NA	
ext_crypt_ctreat::treat4	ext_crypt_ctreat::treat4	NA	NA	
ext_crypt_ctreat::treat5	ext_crypt_ctreat::treat5	NA	NA	
ext_crypt_ctreat::treat6	ext_crypt_ctreat::treat6	NA	NA	
ext_crypt_ctreat::treat7	ext_crypt_ctreat::treat7	NA	NA	
ext_crypt_ctreat::treat8	ext_crypt_ctreat::treat8	NA	NA	
ext_crypt_ctreat::treat9	ext_crypt_ctreat::treat9	NA	NA	
ext_crypt_mgmt_breastfeeding::anybfd	ext_crypt_mgmt_breastfeeding::anybfd	NA	NA	
ext_crypt_mgmt_breastfeeding::dyexbfstrt	ext_crypt_mgmt_breastfeeding::dyexbfstrt	NA	NA	
ext_crypt_mgmt_breastfeeding::exlbf	ext_crypt_mgmt_breastfeeding::exlbf	NA	NA	
ext_crypt_mgmt_lmr::lexret	ext_crypt_mgmt_lmr::lexret	NA	NA	
ext_crypt_mgmt_lmr::lintake	ext_crypt_mgmt_lmr::lintake	NA	NA	
ext_crypt_mgmt_lmr::lmadmml	ext_crypt_mgmt_lmr::lmadmml	NA	NA	
ext_crypt_mgmt_lmr::lmdoc	ext_crypt_mgmt_lmr::lmdoc	NA	NA	
ext_crypt_mgmt_lmr::lmratio	ext_crypt_mgmt_lmr::lmratio	NA	NA	
ext_crypt_mgmt_lmr::lurin	ext_crypt_mgmt_lmr::lurin	NA	NA	
ext_crypt_mgmt_lmr::mexret	ext_crypt_mgmt_lmr::mexret	NA	NA	
ext_crypt_mgmt_lmr::mintake	ext_crypt_mgmt_lmr::mintake	NA	NA	
ext_crypt_mgmt_lmr::murin	ext_crypt_mgmt_lmr::murin	NA	NA	
ext_crypt_mgmt_lmr::ulrecv	ext_crypt_mgmt_lmr::ulrecv	NA	NA	
ext_crypt_mgmt_lmr::umrecv	ext_crypt_mgmt_lmr::umrecv	NA	NA	
ext_crypt_mgmt_lmr::urinml	ext_crypt_mgmt_lmr::urinml	NA	NA	
ext_crypt_neb_sws::daynebuse	ext_crypt_neb_sws::daynebuse	NA	NA	
ext_crypt_neb_sws::nbstrtdt	ext_crypt_neb_sws::nbstrtdt	NA	NA	
ext_crypt_neb_sws::neb_freq	ext_crypt_neb_sws::neb_freq	NA	NA	
ext_crypt_neb_sws::wtkg	ext_crypt_neb_sws::wtkg	NA	NA	
ext_crypt_sb_btest::dop	ext_crypt_sb_btest::dop	NA	NA	
ext_crypt_sb_btest::ht	ext_crypt_sb_btest::ht	NA	NA	
ext_crypt_sb_btest::q4a	ext_crypt_sb_btest::q4a	NA	NA	
ext_crypt_sb_btest::q4b_cd	ext_crypt_sb_btest::q4b_cd	NA	NA	
ext_crypt_sb_btest::q4b_hd	ext_crypt_sb_btest::q4b_hd	NA	NA	
ext_crypt_sb_btest::q4b_mt	ext_crypt_sb_btest::q4b_mt	NA	NA	
ext_crypt_sb_btest::q4c	ext_crypt_sb_btest::q4c	NA	NA	
ext_crypt_sb_btest::q4d	ext_crypt_sb_btest::q4d	NA	NA	
ext_crypt_sb_btest::qe_cd20	ext_crypt_sb_btest::qe_cd20	NA	NA	
ext_crypt_sb_btest::qe_hd20	ext_crypt_sb_btest::qe_hd20	NA	NA	
ext_crypt_sb_btest::qe_mt20	ext_crypt_sb_btest::qe_mt20	NA	NA	
ext_crypt_sb_btest::qf_cd40	ext_crypt_sb_btest::qf_cd40	NA	NA	
ext_crypt_sb_btest::qf_hd40	ext_crypt_sb_btest::qf_hd40	NA	NA	
ext_crypt_sb_btest::qf_mt40	ext_crypt_sb_btest::qf_mt40	NA	NA	
ext_crypt_sb_btest::qg_cd60	ext_crypt_sb_btest::qg_cd60	NA	NA	
ext_crypt_sb_btest::qg_hd60	ext_crypt_sb_btest::qg_hd60	NA	NA	
ext_crypt_sb_btest::qg_mt60	ext_crypt_sb_btest::qg_mt60	NA	NA	
ext_crypt_sb_btest::qh_cd80	ext_crypt_sb_btest::qh_cd80	NA	NA	
ext_crypt_sb_btest::qh_hd80	ext_crypt_sb_btest::qh_hd80	NA	NA	
ext_crypt_sb_btest::qh_mt80	ext_crypt_sb_btest::qh_mt80	NA	NA	
ext_crypt_sb_btest::qi_cd100	ext_crypt_sb_btest::qi_cd100	NA	NA	
ext_crypt_sb_btest::qi_hd100	ext_crypt_sb_btest::qi_hd100	NA	NA	
ext_crypt_sb_btest::qi_mt100	ext_crypt_sb_btest::qi_mt100	NA	NA	
