variable	variable2	values	mappedTerms	valueOrder
gems1_huas_lite_data_6_sites::drh_wrnkskin	gems1_huas_lite_data_6_sites::drh_wrnkskin	1	Yes	1
gems1_huas_lite_data_6_sites::drh_wrnkskin	gems1_huas_lite_data_6_sites::drh_wrnkskin	9	Don't know	3
gems1_huas_lite_data_kenya::drh_wrnkskin	gems1_huas_lite_data_kenya::drh_wrnkskin	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_wrnkskin	gems1_huas_lite_data_kenya::drh_wrnkskin	1	No	2
gems1_huas_lite_data_kenya::drh_wrnkskin	gems1_huas_lite_data_kenya::drh_wrnkskin	2	Yes	1
gems1_huas_lite_data_kenya::drh_wrnkskin	gems1_huas_lite_data_kenya::drh_wrnkskin	3	Don't know	3
gems1_huas_data::drh2wks	gems1_huas_data::drh2wks	1	No	2	
gems1_huas_data::drh2wks	gems1_huas_data::drh2wks	2	Yes	1	
gems1_huas_lite_data_6_sites::diarrhea	gems1_huas_lite_data_6_sites::diarrhea	0	No	2
gems1_huas_lite_data_6_sites::diarrhea	gems1_huas_lite_data_6_sites::diarrhea	1	Yes	1
gems1_huas_lite_data_kenya::diarrhea_new	gems1_huas_lite_data_kenya::diarrhea_new	1	Yes	1
gems1_huas_lite_data_kenya::diarrhea_new	gems1_huas_lite_data_kenya::diarrhea_new	2	No	2
gems1_huas_data::drink_less	gems1_huas_data::drink_less	0	:::UNDEF:::	
gems1_huas_data::drink_less	gems1_huas_data::drink_less	1	Much less	2
gems1_huas_data::drink_less	gems1_huas_data::drink_less	2	Somewhat less	1
gems1_huas_data::drink_less	gems1_huas_data::drink_less	3	Nothing to drink	3
gems1_huas_data::eat_less	gems1_huas_data::eat_less	0	:::UNDEF:::	
gems1_huas_data::eat_less	gems1_huas_data::eat_less	1	Much less	2
gems1_huas_data::eat_less	gems1_huas_data::eat_less	2	Somewhat less	1
gems1_huas_data::eat_less	gems1_huas_data::eat_less	3	Stopped food	3
gems1_huas_data::floor	gems1_huas_data::floor	1	Earth/Sand	1
gems1_huas_data::floor	gems1_huas_data::floor	2	Dung	2
gems1_huas_data::floor	gems1_huas_data::floor	3	Other, specify	10
gems1_huas_data::floor	gems1_huas_data::floor	4	Wood planks	3
gems1_huas_data::floor	gems1_huas_data::floor	5	Palm/bamboo	4
gems1_huas_data::floor	gems1_huas_data::floor	6	Parquet or polished wood	5
gems1_huas_data::floor	gems1_huas_data::floor	7	Vinyle or asphalt strips	6
gems1_huas_data::floor	gems1_huas_data::floor	8	Ceramic tile	7
gems1_huas_data::floor	gems1_huas_data::floor	9	Cement	8
gems1_huas_data::floor	gems1_huas_data::floor	10	Carpet	9
gems1_huas_lite_data_kenya::gender	gems1_huas_lite_data_kenya::gender	1	Male	2
gems1_huas_lite_data_kenya::gender	gems1_huas_lite_data_kenya::gender	2	Female	1
gems1_huas_data::gender	gems1_huas_data::gender	1	Male	2
gems1_huas_data::gender	gems1_huas_data::gender	2	Female	1
gems1_huas_lite_data_6_sites::gender	gems1_huas_lite_data_6_sites::gender	0	Male	2
gems1_huas_lite_data_6_sites::gender	gems1_huas_lite_data_6_sites::gender	1	Female	1
gems1_huas_data::highcost	gems1_huas_data::highcost	0	:::UNDEF:::	
gems1_huas_data::highcost	gems1_huas_data::highcost	1	Simple loose/watery diarrhea	1
gems1_huas_data::highcost	gems1_huas_data::highcost	2	Bloody diarrhea	2
gems1_huas_data::highcost	gems1_huas_data::highcost	3	Rice watery/cholera-like illness	3
gems1_huas_data::highcost	gems1_huas_data::highcost	4	Don't know	4
gems1_huas_data::iv_hosp	gems1_huas_data::iv_hosp	1	IV only	1
gems1_huas_data::iv_hosp	gems1_huas_data::iv_hosp	2	Hospital admission only	2
gems1_huas_data::iv_hosp	gems1_huas_data::iv_hosp	3	IV & hospital admission	3
gems1_huas_data::iv_hosp	gems1_huas_data::iv_hosp	4	Neither	4
gems1_huas_data::iv_hosp	gems1_huas_data::iv_hosp	5	Unknown	5
gems1_huas_data::lose_earn	gems1_huas_data::lose_earn	0	:::UNDEF:::	
gems1_huas_data::lose_earn	gems1_huas_data::lose_earn	1	No	2
gems1_huas_data::lose_earn	gems1_huas_data::lose_earn	2	Yes	1
gems1_huas_data::lowcost	gems1_huas_data::lowcost	1	Simple loose/watery diarrhea	1
gems1_huas_data::lowcost	gems1_huas_data::lowcost	2	Bloody diarrhea	2
gems1_huas_data::lowcost	gems1_huas_data::lowcost	3	Rice watery/cholera-like illness	3
gems1_huas_data::lowcost	gems1_huas_data::lowcost	4	Don't know	4
gems1_huas_data::lst_dangr	gems1_huas_data::lst_dangr	1	Simple loose/watery diarrhea	1
gems1_huas_data::lst_dangr	gems1_huas_data::lst_dangr	2	Bloody diarrhea	2
gems1_huas_data::lst_dangr	gems1_huas_data::lst_dangr	3	Rice watery/cholera-like illness	3
gems1_huas_data::lst_dangr	gems1_huas_data::lst_dangr	4	Don't know	4
gems1_huas_lite_data_kenya::max_stools	gems1_huas_lite_data_kenya::max_stools	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::max_stools	gems1_huas_lite_data_kenya::max_stools	1	3 to 6 times per day	1
gems1_huas_lite_data_kenya::max_stools	gems1_huas_lite_data_kenya::max_stools	2	7 to 10 times per day	2
gems1_huas_lite_data_kenya::max_stools	gems1_huas_lite_data_kenya::max_stools	3	More than 10 times per day	3
gems1_huas_lite_data_kenya::max_stools	gems1_huas_lite_data_kenya::max_stools	4	Don't know	4
gems1_huas_data::max_stools	gems1_huas_data::max_stools	0	:::UNDEF:::	
gems1_huas_data::max_stools	gems1_huas_data::max_stools	1	3 to 6 times per day	1
gems1_huas_data::max_stools	gems1_huas_data::max_stools	2	7 to 10 times per day	2
gems1_huas_data::max_stools	gems1_huas_data::max_stools	3	More than 10 times per day	3
gems1_huas_data::max_stools	gems1_huas_data::max_stools	4	Don't know	4
gems1_huas_lite_data_6_sites::max_stools	gems1_huas_lite_data_6_sites::max_stools	0	:::UNDEF:::	
gems1_huas_lite_data_6_sites::max_stools	gems1_huas_lite_data_6_sites::max_stools	1	3 to 6 times per day	1
gems1_huas_lite_data_6_sites::max_stools	gems1_huas_lite_data_6_sites::max_stools	2	7 to 10 times per day	2
gems1_huas_lite_data_6_sites::max_stools	gems1_huas_lite_data_6_sites::max_stools	3	More than 10 times per day	3
