variable	variable2	values	mappedTerm
drink_breastmilk	hucs_gambia_mali::drink_breastmilk	.	Missing
drink_breastmilk	hucs_gambia_mali::drink_breastmilk	0	No
drink_breastmilk	hucs_gambia_mali::drink_breastmilk	1	Yes
drink_water	hucs_gambia_mali::drink_water	.	Missing
drink_water	hucs_gambia_mali::drink_water	0	No
drink_water	hucs_gambia_mali::drink_water	1	Yes
other_fooddrink	hucs_gambia_mali::other_fooddrink	.	Missing
other_fooddrink	hucs_gambia_mali::other_fooddrink	0	No
other_fooddrink	hucs_gambia_mali::other_fooddrink	1	Yes
other_fooddrink	hucs_gambia_mali::other_fooddrink	9	Don't know
diarrhea	hucs_gambia_mali::diarrhea	.	Missing
diarrhea	hucs_gambia_mali::diarrhea	0	Diarrhea
diarrhea	hucs_gambia_mali::diarrhea	1	No diarrhea
max_stools	hucs_gambia_mali::max_stools	.	Missing
max_stools	hucs_gambia_mali::max_stools	1	3
max_stools	hucs_gambia_mali::max_stools	2	4 to 5
max_stools	hucs_gambia_mali::max_stools	3	6 to 10
max_stools	hucs_gambia_mali::max_stools	4	More than 10 times a day
drh_fever	hucs_gambia_mali::drh_fever	.	Missing
drh_fever	hucs_gambia_mali::drh_fever	0	No 
drh_fever	hucs_gambia_mali::drh_fever	1	Yes
drh_blood	hucs_gambia_mali::drh_blood	.	Missing
drh_blood	hucs_gambia_mali::drh_blood	0	No
drh_blood	hucs_gambia_mali::drh_blood	1	Yes
drh_blood	hucs_gambia_mali::drh_blood	9	Don't know
